id,name,rank,supply,explorer,marketCapUsd
eos,EOS,76,1555580489.8912,https://bloks.io/,851562953.7912272
quant,Quant,77,12072738.0,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675,840759571.291217
theta,Theta Network,78,1000000000.0,https://explorer.thetatoken.org/,836039972.3196337
binaryx-new,Four,79,381867255.144574,Sin datos,830198277.1416909
flare,Flare,80,60983663777.01,https://flare-explorer.flare.network/,806973804.9338775
paypal-usd,PayPal USD,81,802871349.4263151,https://etherscan.io/token/0x6c3ea9036406852006290770bedfcaba0e23a0e8,801516669.7799932
berachain,Berachain,82,107480000.0,Sin datos,795127890.3225529
lido-dao,Lido DAO,83,897877243.8587133,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32,788485386.8367231
tether-gold,Tether Gold,84,246524.0,https://etherscan.io/token/0x4922a015c4407f87432b179bb209e125432e4a2a,767629346.5031015
nexo,Nexo,85,646145839.5746847,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,696775670.0897274
jito,Jito,86,310048982.3,https://solscan.io/token/jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,684048671.4149623
gala,Gala,87,43744189534.59282,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick,675934600.2598318
tezos,Tezos,88,1036827531.678072,https://tzkt.io/,673831428.5401824
the-sandbox,The Sandbox,89,2481357126.2233224,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0,670010329.3811026
bittorrent,BitTorrent [New],90,986061142857000.0,https://tronscan.org/#/token/1002000,663315970.4451092
pax-gold,PAX Gold,91,210371.22,https://etherscan.io/token/0x45804880de22913dafe09f4980848ece6ecbaf78,656440612.0699849
iota,IOTA,92,3688810566.0,https://thetangle.org/,643333898.4821957
curve-dao-token,Curve DAO Token,93,1307447846.0,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52,642893675.9930117
bitcoin-sv,Bitcoin SV,94,19844465.625,https://bsvexplorer.io/,618550480.827413
kaia,Kaia,95,5966455361.82,https://www.kaiascan.io/,612140479.430713
pancakeswap,PancakeSwap,96,301822670.35998726,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,603786260.1301708
flow,Flow,97,1572540589.3190167,https://flowscan.org/,594222462.900689
zcash,Zcash,98,15886821.0,https://explorer.zcha.in/,579262544.1824132
helium,Helium,99,179760925.5581076,https://explorer.helium.com/,572038782.6309732
ethereum-name-service,Ethereum Name Service,100,35599404.04,https://etherscan.io/token/0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,565351361.5889218
